iter	Passed	Remaining
0	5	5616
1	11	5535
2	16	5543
3	21	5468
4	27	5413
5	32	5383
6	37	5363
7	43	5362
8	54	6006
9	64	6377
10	69	6274
11	75	6186
12	80	6106
13	85	6052
14	91	5998
15	96	5952
16	102	5930
17	107	5883
18	113	5847
19	118	5819
20	124	5791
21	129	5773
22	135	5749
23	140	5719
24	146	5694
25	151	5663
26	156	5647
27	162	5648
28	168	5626
29	173	5607
30	179	5622
31	185	5607
32	190	5594
33	196	5577
34	201	5558
35	206	5539
36	213	5544
37	218	5534
38	223	5517
39	229	5501
40	234	5493
41	240	5478
42	246	5493
43	252	5485
44	259	5509
45	268	5559
46	275	5593
47	281	5586
48	286	5569
49	292	5563
50	298	5550
51	303	5539
52	309	5529
53	314	5516
54	320	5503
55	326	5507
56	332	5498
57	337	5481
58	342	5469
59	348	5455
60	354	5451
61	359	5445
62	365	5432
63	370	5420
64	375	5408
65	381	5397
66	386	5388
67	392	5374
68	397	5368
69	403	5354
70	408	5343
71	414	5336
72	419	5325
73	424	5313
74	430	5306
75	435	5297
76	441	5287
77	446	5274
78	451	5263
79	457	5257
80	462	5247
81	467	5236
82	473	5226
83	478	5217
84	483	5206
85	489	5198
86	494	5188
87	499	5177
88	504	5167
89	510	5159
90	515	5150
91	520	5140
92	525	5129
93	531	5124
94	537	5118
95	542	5110
96	548	5102
97	553	5093
98	558	5087
99	564	5078
100	569	5070
101	574	5061
102	580	5053
103	585	5043
104	590	5036
105	596	5028
106	601	5019
107	606	5012
108	612	5008
109	618	5002
110	623	4995
111	629	4988
112	634	4980
113	639	4972
114	645	4965
115	651	4963
116	658	4968
117	664	4966
118	670	4961
119	676	4961
120	683	4968
121	690	4967
122	696	4966
123	702	4959
124	707	4952
125	715	4964
126	721	4962
127	728	4963
128	735	4964
129	741	4960
130	747	4956
131	753	4953
132	758	4947
133	764	4940
134	770	4933
135	775	4925
136	782	4926
137	787	4918
138	792	4910
139	798	4906
140	805	4906
141	811	4905
142	817	4900
143	823	4893
144	829	4888
145	834	4883
146	845	4906
147	852	4906
148	857	4899
149	863	4894
150	869	4886
151	874	4879
152	880	4874
153	886	4868
154	892	4863
155	897	4855
156	902	4847
157	908	4840
158	913	4833
159	919	4826
160	924	4818
161	930	4811
162	935	4804
163	941	4798
164	946	4791
165	952	4783
166	958	4778
167	963	4772
168	970	4771
169	975	4763
170	981	4756
171	986	4750
172	992	4743
173	997	4737
174	1003	4729
175	1008	4723
176	1014	4716
177	1021	4715
178	1027	4711
179	1032	4703
180	1038	4699
181	1044	4692
182	1050	4689
183	1056	4684
184	1063	4683
185	1070	4683
186	1076	4680
187	1084	4682
188	1089	4676
189	1095	4669
190	1100	4662
191	1106	4655
192	1112	4650
193	1117	4642
194	1122	4635
195	1128	4627
196	1133	4622
197	1139	4615
198	1145	4609
199	1151	4604
200	1156	4597
201	1162	4591
202	1167	4584
203	1172	4576
204	1178	4572
205	1184	4565
206	1190	4559
207	1195	4552
208	1200	4545
209	1206	4537
210	1211	4530
211	1217	4525
212	1222	4518
213	1228	4511
214	1233	4503
215	1239	4498
216	1244	4491
217	1249	4483
218	1255	4477
