iter	Passed	Remaining
0	3	3755
1	7	3498
2	23	7731
3	26	6619
4	30	6053
5	33	5581
6	37	5263
7	40	4994
8	43	4796
9	46	4625
10	49	4493
11	53	4383
12	61	4655
13	65	4593
14	69	4545
15	72	4453
16	77	4482
17	80	4403
18	84	4373
19	88	4316
20	94	4418
21	98	4356
22	101	4317
23	104	4265
24	108	4220
25	111	4174
26	114	4129
27	118	4110
28	121	4079
29	125	4067
30	129	4032
31	132	4003
32	135	3976
33	139	3954
34	142	3932
35	146	3918
36	149	3899
37	153	3883
38	156	3863
39	160	3842
40	163	3824
41	165	3780
42	169	3763
43	172	3744
44	175	3732
45	179	3730
46	184	3741
47	187	3722
48	191	3714
49	195	3713
50	198	3702
51	202	3692
52	206	3681
53	209	3668
54	212	3657
55	216	3654
56	220	3639
57	223	3627
58	226	3612
59	229	3600
60	233	3589
61	236	3576
62	239	3564
63	242	3553
64	246	3549
65	249	3537
66	253	3526
67	256	3515
68	259	3505
69	263	3497
70	266	3486
71	270	3483
72	273	3475
73	277	3467
74	280	3461
75	284	3453
76	287	3443
77	290	3433
78	293	3424
79	297	3416
80	300	3406
81	303	3399
82	307	3396
83	310	3388
84	313	3379
85	317	3369
86	320	3360
87	324	3360
88	327	3351
89	330	3345
90	334	3338
91	337	3331
92	340	3322
93	343	3306
94	346	3303
95	351	3307
96	354	3300
97	357	3292
98	360	3285
99	364	3277
100	367	3269
101	370	3262
102	373	3256
103	377	3251
104	380	3245
105	383	3238
106	387	3231
107	391	3229
108	394	3223
109	399	3230
110	402	3224
111	406	3219
112	409	3211
113	412	3205
114	415	3200
115	419	3193
116	422	3186
117	425	3180
118	429	3183
119	433	3177
120	436	3170
121	439	3163
122	442	3157
123	446	3155
124	450	3150
125	453	3143
126	456	3137
127	459	3133
128	464	3135
129	468	3136
130	473	3138
131	476	3135
132	480	3133
133	486	3145
134	490	3140
135	493	3135
136	496	3130
137	500	3127
138	503	3120
139	507	3114
140	510	3110
141	513	3105
142	517	3099
143	520	3093
144	524	3092
145	528	3089
146	531	3084
147	534	3078
148	538	3075
149	542	3071
150	545	3065
151	548	3060
152	551	3054
153	556	3054
154	559	3051
155	562	3045
156	566	3039
157	569	3034
158	572	3028
159	575	3023
160	579	3018
161	582	3013
162	585	3008
163	589	3003
164	592	2997
165	595	2992
166	598	2987
167	602	2984
168	605	2978
169	610	2979
170	613	2976
171	617	2972
172	620	2966
173	623	2960
174	627	2956
175	630	2951
176	633	2945
177	636	2940
178	640	2935
179	643	2930
180	646	2925
181	649	2919
182	652	2914
183	656	2910
184	659	2905
185	662	2900
186	665	2895
187	669	2890
188	672	2886
189	676	2881
190	679	2876
191	682	2871
192	685	2866
193	689	2863
194	692	2858
195	695	2854
196	699	2849
197	702	2844
198	707	2848
199	710	2843
200	714	2838
201	717	2834
202	720	2829
203	723	2824
204	728	2825
205	731	2820
206	735	2816
207	738	2813
208	742	2808
209	745	2804
210	748	2799
211	752	2797
212	755	2792
213	759	2788
214	762	2783
215	765	2779
216	768	2774
217	772	2770
218	775	2765
219	778	2760
220	782	2756
221	785	2751
222	788	2747
223	791	2742
224	794	2737
225	798	2734
226	801	2730
227	805	2725
228	808	2721
229	811	2716
230	814	2711
231	817	2706
232	821	2703
233	824	2698
234	827	2694
235	830	2689
236	833	2684
237	837	2682
238	841	2680
239	844	2675
240	848	2671
241	851	2666
242	854	2662
243	857	2658
244	861	2653
245	864	2649
246	867	2644
247	870	2640
248	874	2636
249	877	2631
250	880	2627
251	883	2622
252	886	2618
253	890	2614
254	893	2610
